2023 Referendum Polling Place Results By State [Please Note: These results are not final. Event:29581 Phase:PostElection Generated:2023-10-16T21:15:22 Cycle:1adc7347-4316-4308-a6b1-1fe08cde6680 Created:2023-10-16T21:15:15 Environment:PROD Site:CANBERRA Server:VTR03 Version:10.11.168.0]
QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,VIC,205,Burwood East Lower,260,53.17,229,46.83,489,98.59,7,1.41,496
1,VIC,205,Burwood East Upper,675,53.19,594,46.81,1269,99.14,11,0.86,1280
1,VIC,205,Burwood Heights (Chisholm),310,47.33,345,52.67,655,98.94,7,1.06,662
1,VIC,209,Burwood Heights (Deakin),668,48.87,699,51.13,1367,98.7,18,1.3,1385
1,VIC,324,Byrneside,50,17.67,233,82.33,283,98.95,3,1.05,286
1,VIC,224,Cabarita,101,22.85,341,77.15,442,99.33,3,0.67,445
1,VIC,321,Cairnlea (Fraser),981,50.23,972,49.77,1953,99.39,12,0.61,1965
1,VIC,309,Cairnlea (Gorton),119,47.79,130,52.21,249,98.42,4,1.58,253
1,VIC,200,California Gully,73,33.64,144,66.36,217,100,0,0,217
1,VIC,224,Calivil,19,13.97,117,86.03,136,100,0,0,136
1,VIC,221,Camberwell,775,67.45,374,32.55,1149,99.31,8,0.69,1157
1,VIC,215,Camberwell HIGGINS PPVC,753,57.52,556,42.48,1309,99.09,12,0.91,1321
1,VIC,221,Camberwell KOOYONG PPVC,9722,56.07,7618,43.93,17340,99.45,96,0.55,17436
1,VIC,228,Camberwell MELBOURNE PPVC,511,65.94,264,34.06,775,99.74,2,0.26,777
1,VIC,221,Camberwell Middle,756,60.82,487,39.18,1243,99.6,5,0.4,1248
1,VIC,215,Camberwell South (Higgins),566,66.51,285,33.49,851,99.53,4,0.47,855
1,VIC,221,Camberwell South (Kooyong),285,61.96,175,38.04,460,99.14,4,0.86,464
1,VIC,221,Camberwell West,1011,64.64,553,35.36,1564,99.3,11,0.7,1575
1,VIC,222,Cambridge,732,48.38,781,51.62,1513,98.63,21,1.37,1534
1,VIC,203,Campbellfield,411,34.95,765,65.05,1176,96.63,41,3.37,1217
1,VIC,200,Campbells Creek,397,55.92,313,44.08,710,99.72,2,0.28,712
1,VIC,233,Camperdown,540,28.35,1365,71.65,1905,98.7,25,1.3,1930
1,VIC,198,Canadian,636,50.44,625,49.56,1261,98.52,19,1.48,1280
1,VIC,221,Canterbury,317,52.66,285,47.34,602,98.85,7,1.15,609
1,VIC,221,Canterbury South,983,64.97,530,35.03,1513,99.21,12,0.79,1525
1,VIC,221,Canterbury West,257,51.09,246,48.91,503,99.21,4,0.79,507
1,VIC,198,Cape Clear,64,27.83,166,72.17,230,100,0,0,230
